id,day,Apples,Bananas,Beef,Bread,Cheese Balls,Chicken,Eggplants,Eggs,Fish,Milk,Oats,Olive Oil,Oranges,Potatoes,Rice,Soy Bean Paste,Tomatoes,Watermelons,"Yogurt (low fat, plain)"
nm2fs,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,1,5.0,4.0,3.0,0.0,5.0,8.0,1.0,7.0,4.0,0.0,3.0,1.0,9.0,7.0,6.0,6.0,3.0,5.0,3.0
znp3ev,1,9.0,5.0,6.0,4.0,8.0,2.0,6.0,6.0,4.0,8.0,7.0,6.0,0.0,6.0,5.0,5.0,4.0,8.0,2.0
zqz8ae,1,3.0,7.0,2.0,6.0,4.0,0.0,5.0,3.0,6.0,1.0,2.0,7.0,2.0,1.0,4.0,2.0,7.0,4.0,2.0
Anonymous Narwhal,2,-0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,-0.0,0.0,0.0,3.0,4.0,5.0,3.0,0.0,4.0,0.0,2.0
Gal Gadot,2,0.0,1.0,2.0,0.0,0.0,1.0,-0.0,0.0,0.0,3.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.0
ae3xd,2,3.0,0.0,0.0,5.0,0.0,8.0,0.0,3.0,3.0,0.0,0.0,-0.0,2.0,0.0,-0.0,0.0,-0.0,0.0,1.0
ak3gj,2,5.0,0.0,-0.0,8.0,0.0,-0.0,0.0,6.0,-0.0,0.0,1.0,1.0,2.0,5.0,7.0,0.0,6.0,0.0,5.0
blacklodge,2,-0.0,2.0,2.0,2.0,2.0,-0.0,2.0,2.0,-0.0,-0.0,2.0,1.0,2.0,-0.0,0.0,1.0,3.0,0.0,0.0
csk6snj,2,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.0,1.0,0.0
nm2fs,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,2,3.0,8.0,0.0,0.0,2.0,7.0,-0.0,2.0,9.0,-0.0,4.0,-0.0,8.0,7.0,5.0,7.0,3.0,5.0,8.0
znp3ev,2,-0.0,5.0,7.0,8.0,8.0,3.0,6.0,8.0,-0.0,8.0,6.0,6.0,-0.0,5.0,4.0,1.0,2.0,7.0,4.0
zqz8ae,2,-0.0,7.0,10.0,2.0,3.0,-0.0,3.0,10.0,10.0,9.0,10.0,-0.0,3.0,-0.0,2.0,4.0,10.0,4.0,3.0
Anonymous Narwhal,3,0.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0,-0.0,0.0,4.0,3.0,4.0,-0.0,2.0,5.0,-0.0,0.0
Gal Gadot,3,4.0,-0.0,1.0,2.0,0.0,3.0,0.0,4.0,-0.0,9.0,0.0,0.0,-0.0,-0.0,0.0,0.0,3.0,1.0,3.0
ae3xd,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,-0.0,0.0,0.0,0.0,0.0
ak3gj,3,5.0,0.0,-0.0,7.0,0.0,3.0,0.0,10.0,-0.0,2.9999999999999947,4.0,1.0,-0.0,-0.0,7.0,0.0,4.0,0.0,5.0
blacklodge,3,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,-0.0,0.0,1.0,0.0,1.0,-0.0,1.0,2.0,2.0,0.0,2.0
csk6snj,3,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nm2fs,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,3,6.0,1.0,0.0,0.0,7.0,8.0,-0.0,1.0,2.0,-0.0,4.0,3.0,8.0,7.0,4.0,2.0,2.0,2.0,3.0
znp3ev,3,7.0,6.0,3.0,-0.0,7.0,8.0,6.0,9.0,-0.0,8.0,7.0,8.0,-0.0,-0.0,1.0,3.0,2.0,4.0,5.0
zqz8ae,3,3.0,4.0,7.0,6.0,1.0,-0.0,10.0,5.0,10.0,5.269093531396678e-15,7.0,1.0,7.0,2.0,7.0,9.0,7.0,4.0,3.0
Anonymous Narwhal,4,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0
Gal Gadot,4,0.0,0.0,3.0,5.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,-0.0,-0.0,2.0,0.0,5.0,-0.0,5.0,0.0
ae3xd,4,2.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,-0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
ak3gj,4,6.0,0.0,1.0,7.0,0.0,8.0,0.0,7.0,2.0,4.0,3.0,1.0,6.0,2.0,7.0,0.0,2.0,0.0,3.0
blacklodge,4,1.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,-0.0,1.0,0.0,2.0,-0.0,-0.0,0.0
csk6snj,4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm2fs,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,4,4.0,4.0,-0.0,3.0,-0.0,3.0,1.0,4.0,5.0,3.0,3.0,2.0,1.0,7.0,3.0,4.0,1.0,2.0,4.0
znp3ev,4,7.0,5.0,0.0,6.0,7.0,6.0,6.0,7.0,0.0,7.0,7.0,6.0,-0.0,5.0,6.0,3.0,4.0,7.0,-0.0
zqz8ae,4,7.0,7.0,9.0,-0.0,-0.0,-0.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0,-0.0,9.0,3.0,9.0
Anonymous Narwhal,5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,1.0,5.0,0.0,2.0
Gal Gadot,5,0.0,4.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
ae3xd,5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ak3gj,5,5.0,0.0,0.0,7.0,0.0,9.0,0.0,9.0,0.0,3.0,1.0,1.0,6.0,5.0,7.0,0.0,4.0,0.0,5.0
blacklodge,5,2.0,3.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0
csk6snj,5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nm2fs,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,5,7.0,7.0,0.0,3.0,6.0,4.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0,2.0,3.0,2.0,7.0,5.0
znp3ev,5,6.0,5.0,0.0,1.0,10.0,6.0,2.0,7.0,2.0,6.0,8.0,7.0,2.0,7.0,6.0,3.0,4.0,7.0,4.0
zqz8ae,5,0.0,4.0,8.0,0.0,2.0,0.0,9.0,9.0,8.0,1.0,7.0,10.0,10.0,3.0,5.0,10.0,7.0,6.0,7.0
Anonymous Narwhal,6,0.0,3.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,-0.0,0.0,3.0,3.0,0.0,2.0,2.0,4.0,1.0,2.0
Gal Gadot,6,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,4.0,4.0,1.0,0.0
ae3xd,6,1.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,3.0000000000000004,1.0,0.0,-0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0
ak3gj,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blacklodge,6,1.0,-0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
csk6snj,6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm2fs,6,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
pex7ps,6,1.0,1.0,-0.0,4.0,7.0,8.0,1.0,7.0,1.0,-0.0,2.0,-0.0,2.0,2.0,5.0,6.0,2.0,5.0,6.0
znp3ev,6,10.0,6.0,4.0,9.0,7.0,-0.0,2.0,9.0,3.0,3.0,7.0,4.0,-0.0,6.0,7.0,3.0,6.0,7.0,5.0
zqz8ae,6,3.0,9.0,10.0,6.0,1.0,-0.0,10.0,9.0,9.0,9.0,5.0,4.0,7.0,10.0,7.0,1.0,4.0,3.0,2.0
Anonymous Narwhal,7,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,4.0,1.0,2.0
Gal Gadot,7,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
ae3xd,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
ak3gj,7,5.0,0.0,0.0,6.0,0.0,0.0,4.0,7.0,0.0,4.0,5.0,1.0,6.0,5.0,4.0,0.0,4.0,0.0,5.0
blacklodge,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
csk6snj,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
nm2fs,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,7,4.0,7.0,6.0,2.0,3.0,4.0,1.0,5.0,0.0,7.0,0.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,0.0
znp3ev,7,8.0,5.0,5.0,6.0,8.0,6.0,5.0,5.0,0.0,2.0,6.0,2.0,0.0,7.0,5.0,2.0,1.0,6.0,0.0
zqz8ae,7,5.0,9.0,0.0,9.0,2.0,6.0,8.0,2.0,7.0,4.0,8.0,3.0,9.0,2.0,7.0,5.0,1.0,5.0,7.0
Anonymous Narwhal,8,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0
Gal Gadot,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0
ae3xd,8,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ak3gj,8,6.0,0.0,0.0,7.0,0.0,3.0,4.0,9.0,0.0,1.0,3.0,1.0,4.0,5.0,7.0,0.0,5.0,0.0,5.0
blacklodge,8,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
csk6snj,8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nm2fs,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,8,8.0,8.0,0.0,3.0,6.0,2.0,7.0,1.0,2.0,0.0,7.0,3.0,5.0,8.0,5.0,8.0,4.0,8.0,4.0
znp3ev,8,7.0,6.0,0.0,9.0,6.0,7.0,6.0,2.0,4.0,10.0,5.0,8.0,7.0,4.0,5.0,3.0,1.0,7.0,0.0
zqz8ae,8,5.0,6.0,10.0,0.0,6.0,0.0,4.0,8.0,10.0,10.0,6.0,0.0,3.0,8.0,7.0,4.0,8.0,5.0,9.0
Anonymous Narwhal,9,-0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
Gal Gadot,9,1.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,-0.0,3.0,3.0,-0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
ae3xd,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ak3gj,9,4.0,0.0,-0.0,6.0,0.0,10.0,4.0,8.0,-0.0,4.0,4.0,1.0,5.0,4.0,7.0,0.0,4.0,0.0,5.0
blacklodge,9,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
csk6snj,9,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm2fs,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,9,2.0,4.0,1.0,-0.0,3.0,3.0,-0.0,3.0,7.0,6.0,4.0,2.0,5.0,3.0,4.0,7.0,2.0,2.0,2.0
znp3ev,9,7.0,7.0,4.0,1.0,5.0,4.0,7.0,7.0,-0.0,6.0,6.0,4.0,3.0,1.0,6.0,0.0,4.0,8.0,5.0
zqz8ae,9,8.0,5.0,6.0,10.0,-0.0,-0.0,10.0,5.0,5.0,2.0,5.0,0.0,9.0,10.0,2.0,2.0,5.0,9.0,2.0
Anonymous Narwhal,10,3.0,-0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0
Gal Gadot,10,3.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.0,2.0,2.0,2.0
ae3xd,10,-0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,-0.0,1.0,1.0,1.0,2.0,-0.0,0.0,0.0,0.0,0.0
ak3gj,10,5.0,0.0,3.0,2.0,0.0,-0.0,5.0,10.0,1.0,4.0,3.0,-0.0,7.0,4.0,7.0,0.0,4.0,1.0,5.0
blacklodge,10,1.0,1.0,-0.0,0.0,0.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,1.0
csk6snj,10,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nm2fs,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,10,6.0,2.0,0.0,-0.0,8.0,6.0,1.0,1.0,3.0,4.0,4.0,2.0,5.0,8.0,3.0,8.0,2.0,2.0,5.0
znp3ev,10,-0.0,7.0,-0.0,6.0,8.0,4.0,5.0,7.0,0.0,8.0,8.0,6.0,3.0,7.0,4.0,5.0,5.0,8.0,3.0
zqz8ae,10,8.0,4.0,10.0,6.0,3.0,-0.0,1.0,2.0,4.0,4.0,9.0,-0.0,-0.0,-0.0,7.0,2.0,7.0,5.0,5.0
Anonymous Narwhal,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0
Gal Gadot,11,1.0,2.0,0.0,0.0,2.0,2.0,1.0,-0.0,-0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0
ae3xd,11,0.0,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
ak3gj,11,6.0,0.0,1.0,7.0,0.0,-0.0,5.0,8.0,2.0,5.0,3.0,1.0,7.0,7.0,7.0,0.0,5.0,0.0,5.0
blacklodge,11,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
csk6snj,11,0.0,0.0,-0.0,0.0,2.0,1.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
nm2fs,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,11,3.0,2.0,2.0,4.0,7.0,2.0,1.0,4.0,3.0,1.0,3.0,-0.0,3.0,2.0,6.0,5.0,3.0,3.0,6.0
znp3ev,11,5.0,8.0,6.0,3.0,5.0,3.0,6.0,7.0,-0.0,7.0,4.0,8.0,4.0,1.0,1.0,-0.0,7.0,8.0,7.0
zqz8ae,11,3.0,4.0,10.0,4.0,-0.0,1.0,4.0,7.0,9.0,7.0,3.0,2.0,4.0,6.0,7.0,4.0,1.0,4.0,2.0
Anonymous Narwhal,12,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-0.0,3.0,2.0,-0.0,0.0,0.0
Gal Gadot,12,2.0,-0.0,-0.0,4.0,0.0,-0.0,0.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,0.0,6.0,0.0,0.0
ae3xd,12,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0
ak3gj,12,4.0,0.0,3.0,4.0,0.0,2.0,4.0,9.0,-0.0,4.0,3.0,1.0,7.0,3.0,3.0,0.0,3.0,0.0,7.0
blacklodge,12,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
csk6snj,12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nm2fs,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pex7ps,12,3.0,4.0,2.0,2.0,2.0,6.0,6.0,2.0,3.0,8.0,1.0,-0.0,3.0,4.0,4.0,6.0,3.0,2.0,7.0
znp3ev,12,2.0,5.0,-0.0,4.0,4.0,3.0,4.0,6.0,3.0,4.0,1.0,7.0,3.0,5.0,5.0,1.0,2.0,6.0,4.0
zqz8ae,12,5.0,4.0,-0.0,5.0,1.0,-0.0,4.0,7.0,6.0,7.0,5.0,-0.0,5.0,6.0,3.0,6.0,3.0,5.0,2.0
Anonymous Narwhal,13,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0
Gal Gadot,13,3.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,-0.0,2.0,3.0,0.0,1.0,0.0
ae3xd,13,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,-0.0,3.0,0.0,0.0,0.0,0.0
ak3gj,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blacklodge,13,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
csk6snj,13,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.9999999999999974,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nm2fs,13,3.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,1.0
pex7ps,13,3.0,2.0,3.0,5.0,7.0,6.0,1.0,3.0,5.0,1.0,3.0,-0.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0
znp3ev,13,4.0,6.0,2.0,1.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,5.0,4.0
zqz8ae,13,5.0,5.0,10.0,6.0,1.0,4.0,4.0,7.0,5.0,7.0,6.0,2.0,2.0,5.0,6.0,1.0,9.0,4.0,9.0
