id,day,Apples,Bananas,Beef,Bread,Cheese Balls,Chicken,Eggplants,Eggs,Fish,Milk,Oats,Olive Oil,Oranges,Potatoes,Rice,Soy Bean Paste,Tomatoes,Watermelons,"Yogurt (low fat, plain)"
afv9x,3,3,1,3,2,0,2,4,2,2,2,2,2,0,2,3,0,3,0,2
sv6cw,3,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,4,3,0,3,2,0,7,5,5,4,5,3,6,0,5,4,0,0,0,0
Anonymous Narwhal,4,2,0,0,2,0,1,1,0,1,2,0,1,2,3,2,1,2,0,1
csk6snj,4,1,1,1,2,0,4,0,3,1,0,1,0,0,0,1,0,0,0,0
kem5en,4,3,4,1,3,2,4,2,6,1,1,5,4,2,4,2,0,2,0,3
qwp4pk,4,2,2,2,2,1,1,1,3,2,3,1,1,2,2,4,1,3,3,2
Isobel Regina,4,3,2,2,3,1,4,5,7,1,5,6,5,3,7,7,4,1,6,2
afv9x,4,6,6,4,4,1,7,1,6,7,4,3,4,1,6,4,1,4,1,4
sv6cw,4,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,5,2,5,0,1,6,0,0,6,2,0,0,6,2,2,3,2,6,6,4
Anonymous Narwhal,5,2,1,0,0,1,2,3,2,1,0,2,2,2,1,0,1,1,1,1
csk6snj,5,0,2,0,1,0,3,0,2,1,0,1,0,1,1,1,0,0,0,0
kem5en,5,2,1,1,2,1,3,2,6,3,1,4,4,3,4,2,0,2,1,3
qwp4pk,5,4,4,2,4,2,4,1,4,2,2,2,2,3,3,3,1,4,3,2
Isobel Regina,5,3,5,3,1,4,5,1,3,2,2,4,6,4,7,4,7,3,6,5
afv9x,5,3,2,3,2,1,3,1,4,4,2,2,2,3,3,3,1,3,1,1
sv6cw,5,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,6,0,0,1,2,5,0,0,6,5,0,3,0,0,5,3,2,2,0,7
Anonymous Narwhal,6,2,3,0,0,0,1,0,0,0,0,0,1,1,2,0,0,2,0,2
csk6snj,6,1,2,2,1,0,3,0,3,0,0,0,1,0,0,2,0,0,0,0
kem5en,6,2,2,1,2,1,3,3,6,2,1,2,3,2,3,3,1,2,2,0
qwp4pk,6,4,3,3,4,2,4,3,3,2,3,3,1,3,2,3,0,3,3,3
Isobel Regina,6,4,4,6,7,3,1,3,4,6,4,5,2,2,5,6,5,5,4,3
afv9x,6,1,2,1,1,1,1,1,2,3,1,2,2,1,1,2,1,3,1,1
sv6cw,6,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,7,3,2,3,4,4,0,0,0,0,2,5,0,5,4,6,2,0,0,0
Anonymous Narwhal,7,1,2,0,0,1,2,0,2,1,1,0,1,1,0,0,1,2,0,0
csk6snj,7,0,0,0,1,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0
kem5en,7,3,1,1,2,1,1,2,6,1,2,2,2,3,2,3,0,2,2,0
qwp4pk,7,4,2,3,5,1,3,2,3,2,2,3,1,3,3,3,1,3,4,2
Isobel Regina,7,6,7,2,6,6,7,7,4,2,4,2,5,3,4,1,1,1,3,5
afv9x,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sv6cw,7,7,7,1,7,7,7,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,8,5,7,0,4,4,0,3,0,3,4,3,0,4,5,2,0,0,2,0
Anonymous Narwhal,8,2,0,1,1,0,0,0,0,2,2,2,1,0,2,2,1,4,2,0
csk6snj,8,0,2,0,1,0,2,0,0,0,0,0,1,2,0,1,0,0,1,0
kem5en,8,2,3,1,2,0,1,1,7,1,1,1,3,2,3,2,1,2,0,1
qwp4pk,8,3,3,3,4,1,4,2,4,2,2,2,0,3,3,4,1,3,3,2
Isobel Regina,8,7,4,1,1,3,2,7,1,6,4,5,5,1,7,3,4,2,6,7
afv9x,8,6,6,4,4,4,7,4,6,7,4,4,4,4,6,4,4,6,2,4
sv6cw,8,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,9,0,3,4,4,2,3,6,5,0,3,3,5,5,3,0,5,0,0,0
Anonymous Narwhal,9,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,2,2,0,1
csk6snj,9,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,0
kem5en,9,2,2,1,1,1,1,2,7,2,2,2,1,2,3,2,1,2,2,1
qwp4pk,9,4,3,3,6,0,5,2,4,2,3,3,0,4,3,4,0,3,5,2
Isobel Regina,9,5,3,4,4,3,4,3,5,2,6,4,2,2,3,3,5,5,6,4
afv9x,9,4,3,2,2,1,4,2,4,4,2,1,1,2,2,2,2,4,1,1
sv6cw,9,7,7,1,7,7,1,7,0,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,10,5,1,0,0,4,6,5,2,0,0,7,0,2,0,3,4,2,4,5
Anonymous Narwhal,10,0,1,0,2,0,0,0,0,2,0,1,0,1,2,2,0,1,0,0
csk6snj,10,1,0,3,1,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0
kem5en,10,1,2,1,1,1,2,2,6,2,1,3,1,3,3,2,0,1,0,2
qwp4pk,10,4,3,3,5,1,3,3,4,2,2,2,1,4,4,4,1,3,3,2
Isobel Regina,10,6,4,5,2,6,2,4,3,4,6,3,2,2,4,3,5,5,3,5
afv9x,10,2,1,2,1,2,1,2,2,1,3,2,3,2,3,1,2,1,1,2
sv6cw,10,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,11,3,5,7,0,3,0,3,0,7,5,0,4,5,2,6,0,6,3,4
Anonymous Narwhal,11,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,3,0
csk6snj,11,1,0,2,2,0,1,0,1,0,1,2,1,0,2,3,0,0,0,0
kem5en,11,2,2,1,1,0,2,1,7,2,1,0,2,2,3,2,0,1,1,2
qwp4pk,11,4,4,3,5,1,4,3,4,2,2,3,1,3,4,3,0,4,3,2
Isobel Regina,11,1,6,5,6,5,2,5,7,3,6,2,4,4,1,7,3,7,7,7
afv9x,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sv6cw,11,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,12,0,0,0,3,6,1,0,5,4,7,0,0,5,6,4,5,3,0,4
Anonymous Narwhal,12,2,1,0,2,0,1,1,1,1,2,2,0,0,4,2,0,2,1,0
csk6snj,12,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
kem5en,12,3,3,1,1,1,2,2,6,1,1,1,1,1,2,2,2,0,0,2
qwp4pk,12,5,3,3,5,1,4,2,4,3,3,3,1,4,3,3,1,4,3,2
Isobel Regina,12,1,5,2,6,4,1,6,4,1,5,2,2,6,3,4,1,1,3,6
afv9x,12,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0
sv6cw,12,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,7
Gal Gadot,13,0,0,7,2,7,0,0,4,6,0,0,0,0,3,4,4,0,4,2
Anonymous Narwhal,13,1,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0
csk6snj,13,5,0,0,1,0,1,0,6,0,1,1,1,0,1,1,0,0,0,0
kem5en,13,1,2,1,1,1,7,2,7,1,1,2,2,0,3,2,0,2,0,1
qwp4pk,13,4,3,3,4,1,3,2,2,2,2,3,1,3,3,3,1,3,3,3
Isobel Regina,13,5,1,4,1,6,4,7,5,3,7,6,1,1,3,2,2,7,7,7
afv9x,13,4,4,1,1,0,3,0,1,3,1,1,0,0,0,1,0,1,1,0
sv6cw,13,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
