id,day,Apples,Bananas,Beef,Bread,Cheese Balls,Chicken,Eggplants,Eggs,Fish,Milk,Oats,Olive Oil,Oranges,Potatoes,Rice,Soy Bean Paste,Tomatoes,Watermelons,"Yogurt (low fat, plain)"
Gal Gadot,12,2,1,3,4,0,3,0,2,2,1,3,0,3,3,3,0,6,0,0
blacklodge,12,1,0,0,0,0,2,0,0,2,1,0,0,2,0,2,0,0,0,0
Anonymous Narwhal,12,0,2,4,3,0,0,0,0,0,0,2,2,0,3,3,2,4,0,0
znp3ev,12,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pex7ps,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anonymous Narwhal,13,2,0,0,2,0,0,3,0,0,0,0,2,2,4,2,0,3,1,0
pex7ps,13,3,2,3,5,7,6,1,3,7,2,3,3,2,4,2,3,2,3,4
ak3gj,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,13,3,0,1,1,0,0,3,1,1,3,2,1,0,2,2,3,0,1,0
csk6snj,13,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0
blacklodge,13,1,0,1,0,0,1,0,0,1,1,0,0,1,0,2,0,0,1,2
zqz8ae,13,5,5,10,6,1,10,5,7,6,7,8,2,5,5,7,1,9,4,10
znp3ev,13,4,6,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
